연번,상호명,활동장소,건물명,대표번호,취급부류
1,(유)선우회센터,가락시장,가락몰 5관 편의시설 1층 001-1호,02-6978-1200,기타
2,(유)수동상회,가락시장,가락몰 5관 편의시설 1층 002-1호,02-401-5541,수산부류
3,(유)해남수산,가락시장,가락몰 5관 편의시설 1층 003-1호,02-407-4195,채소류
4,(유)해남수산,가락시장,가락몰 5관 편의시설 1층 004-1호,02-407-4195,채소류
5,고흥상회,가락시장,가락몰 5관 편의시설 1층 005-1호,02-407-7463,수산부류
6,(유)채원수산,가락시장,가락몰 5관 편의시설 1층 006-1호,02-6978-1200,수산부류
7,(유)성광수산,가락시장,가락몰 5관 편의시설 1층 007-1호,02-407-7463,수산부류
8,(유)채원수산,가락시장,가락몰 5관 편의시설 1층 008-1호,02-6978-1200,수산부류
9,(유)대양수산,가락시장,가락몰 5관 편의시설 1층 009-1호,02-407-7463,선어류
10,(유)백운횟집,가락시장,가락몰 5관 편의시설 1층 010-1호,02-6978-1111,기타
11,(유)백운횟집,가락시장,가락몰 5관 편의시설 1층 011-1호,02-6978-1111,기타
12,(유)백운횟집,가락시장,가락몰 5관 편의시설 1층 012-1호,02-6978-1111,기타
13,(주)포항수산,가락시장,가락몰 5관 편의시설 1층 013-1호,02-408-8817,기타
14,(유)가락수산회센터,가락시장,가락몰 5관 편의시설 1층 014-1호,02-403-1767,수산부류
15,(유)부안상회,가락시장,가락몰 5관 편의시설 1층 015-1호,,선어류
16,(유)동군산수산,가락시장,가락몰 5관 편의시설 1층 016-1호,02-448-0868,수산부류
17,흑산수산,가락시장,가락몰 5관 편의시설 1층 017-1호,02-6978-1300,수산부류
18,유한회사 포항회센터,가락시장,가락몰 5관 편의시설 1층 018-1호,,수산부류
19,(유)나로도수산,가락시장,가락몰 5관 편의시설 1층 019-1호,02-407-7463,기타
20,주식회사 수담차이,가락시장,가락몰 5관 편의시설 2층 001-1호,,기타
21,거북선(신해금강),가락시장,가락몰 5관 편의시설 2층 002-1호,,기타
22,정육식당일품주식회사,가락시장,가락몰 5관 편의시설 2층 003-1호,,기타
23,(유)서울식당,가락시장,가락몰 5관 편의시설 3층 001-1호,,채소류
24,(유)신해금강,가락시장,가락몰 5관 편의시설 3층 002-1호,02-6978-1717,기타
25,(유)만찬,가락시장,가락몰 5관 편의시설 3층 004-1호,02-6978-1177,기타
26,(유)만찬,가락시장,가락몰 5관 편의시설 3층 006-1호,02-6978-1177,기타
27,(유)돌고래회양념식당,가락시장,가락몰 5관 편의시설 3층 007-1호,,청과부류
28,(유)아름다운한강,가락시장,가락몰 4관 편의시설 1층 001-1호,02-409-2315,기타
29,(유)성전일식,가락시장,가락몰 4관 편의시설 1층 002-1호,02-407-2981,기타
30,(유)정동,가락시장,가락몰 4관 편의시설 2층 001-1호,02-6978-2580,기타
31,(유)유정씨푸드,가락시장,가락몰 4관 편의시설 3층 001-1호,02-6978-2020,기타
32,(유)가락마당,가락시장,가락몰 4관 편의시설 3층 002-1호,02-449-2107,기타
33,강동수산새마을금고,가락시장,가락몰 4관 편의시설 지하1층 001-1호,02-448-3738,기타
34,강동수산새마을금고,가락시장,가락몰 4관 편의시설 지하1층 002-1호,02-448-3738,기타
35,(유)셀그린농산,가락시장,가락몰 4관 편의시설 지하1층 003-1호,,채소류
36,(주)보은수산,가락시장,가락몰 4관 편의시설 지하1층 004-1호,02-407-7934,기타
37,(유)참좋은향기,가락시장,가락몰 4관 편의시설 지하1층 005-1호,02-6978-0106,기타
38,가락몰점,가락시장,가락몰 4관 편의시설 지하1층 008-1호,02-409-2679,기타
39,(주)위드에프앤디,가락시장,가락몰 4관 편의시설 지하1층 009-1호,02-6978-0230,기타
40,(유)청춘포차,가락시장,가락몰 4관 편의시설 지하1층 010-1호,,채소류
41,(유)청춘포차,가락시장,가락몰 4관 편의시설 지하1층 051-1호,,채소류
42,(유)발안유통,가락시장,가락몰 4관 편의시설 지하1층 052-1호,,식품잡화
43,(유)가락유통,가락시장,가락몰 4관 편의시설 지하1층 053-1호,,기타
44,(유)가락유통,가락시장,가락몰 4관 편의시설 지하1층 054-1호,,기타
45,(유)쌍둥이네,가락시장,가락몰 4관 편의시설 지하1층 055-1호,,기타
46,(유)한결농산,가락시장,가락몰 4관 편의시설 지하1층 056-1호,,채소류
47,(유)민들레식당,가락시장,가락몰 4관 편의시설 지하1층 058-1호,,채소류
48,(주)원조계란말이즉석김밥,가락시장,가락몰 4관 편의시설 지하1층 059-1호,,청과부류
49,(주)원조계란말이즉석김밥,가락시장,가락몰 4관 편의시설 지하1층 060-1호,,청과부류
50,(주)스마일나물,가락시장,가락몰 4관 편의시설 지하1층 061-1호,,청과부류
51,(주)스마일나물,가락시장,가락몰 4관 편의시설 지하1층 062-1호,,청과부류
52,(주)동일유통,가락시장,가락몰 4관 편의시설 지하1층 064-1호,,기타
53,(유)투박이,가락시장,가락몰 4관 편의시설 지하1층 067-1호,02-407-8841,기타
54,(주)위드에프앤디,가락시장,가락몰 4관 편의시설 지하1층 069-1호,02-6978-0230,기타
55,(유)청춘포차,가락시장,가락몰 4관 편의시설 지하1층 071-1호,,채소류
56,(유)태경종합푸드,가락시장,가락몰 4관 편의시설 지하1층 074-1호,02-407-6461,기타
57,(유)맛하우스,가락시장,가락몰 4관 편의시설 지하1층 077-1호,02-407-2531,기타
58,(유)청정해유통,가락시장,가락몰 4관 편의시설 지하1층 078-1호,02-407-8618,식품잡화
59,(유)남산푸드,가락시장,가락몰 4관 편의시설 지하1층 079-1호,,채소류
60,(유)남산푸드,가락시장,가락몰 4관 편의시설 지하1층 079-2호,,채소류
61,(유)충남상회,가락시장,가락몰 4관 편의시설 지하1층 080-1호,,기타
62,(유)보니파시오상회,가락시장,가락몰 4관 편의시설 지하1층 081-1호,02-407-3094,건어류
